iter	Passed	Remaining
819	2197	482
820	2200	479
821	2202	476
822	2205	474
823	2207	471
824	2209	468
825	2211	465
826	2214	463
827	2216	460
828	2219	457
829	2221	455
830	2223	452
831	2226	449
832	2228	446
833	2231	444
834	2233	441
835	2236	438
836	2238	435
837	2241	433
838	2243	430
839	2245	427
840	2248	425
841	2250	422
842	2252	419
843	2255	416
844	2257	414
845	2261	411
846	2263	408
847	2266	406
848	2268	403
849	2271	400
850	2273	398
851	2276	395
852	2278	392
853	2281	390
854	2284	387
855	2286	384
856	2288	381
857	2291	379
858	2294	376
859	2296	373
860	2298	371
861	2301	368
862	2303	365
863	2306	363
864	2308	360
865	2311	357
866	2313	354
867	2316	352
868	2318	349
869	2320	346
870	2322	344
871	2325	341
872	2327	338
873	2330	335
874	2332	333
875	2335	330
876	2337	327
877	2339	325
878	2342	322
879	2345	319
880	2347	317
881	2350	314
882	2352	311
883	2354	308
884	2357	306
885	2359	303
886	2361	300
887	2364	298
888	2366	295
889	2369	292
890	2371	290
891	2374	287
892	2376	284
893	2379	282
894	2381	279
895	2384	276
896	2386	274
897	2389	271
898	2391	268
899	2394	266
900	2396	263
901	2399	260
902	2401	257
903	2404	255
904	2406	252
905	2409	249
906	2411	247
907	2414	244
908	2416	241
909	2418	239
910	2421	236
911	2423	233
912	2425	231
913	2428	228
914	2430	225
915	2433	223
916	2435	220
917	2437	217
918	2440	215
919	2443	212
920	2445	209
921	2447	207
922	2450	204
923	2452	201
924	2455	199
925	2458	196
926	2460	193
927	2462	191
928	2465	188
929	2467	185
930	2470	183
931	2472	180
932	2475	177
933	2477	175
934	2480	172
935	2482	169
936	2485	167
937	2487	164
938	2490	161
939	2492	159
940	2494	156
941	2497	153
942	2499	151
943	2502	148
944	2504	145
945	2507	143
946	2509	140
947	2511	137
948	2514	135
949	2516	132
950	2519	129
951	2521	127
952	2523	124
953	2526	121
954	2528	119
955	2531	116
956	2533	113
957	2536	111
958	2538	108
959	2540	105
960	2543	103
961	2545	100
962	2548	97
963	2550	95
964	2552	92
965	2555	89
966	2557	87
967	2559	84
968	2562	81
969	2564	79
970	2567	76
971	2569	74
972	2571	71
973	2574	68
974	2577	66
975	2579	63
976	2582	60
977	2584	58
978	2586	55
979	2589	52
980	2591	50
981	2594	47
982	2597	44
983	2599	42
984	2602	39
985	2604	36
986	2607	34
987	2609	31
988	2612	29
989	2615	26
990	2617	23
991	2620	21
992	2622	18
993	2625	15
994	2627	13
995	2630	10
996	2632	7
997	2635	5
998	2637	2
999	2640	0
